episode,cumulative_reward,obstacle_hits,visited_count,average_battery_level,episode_length
1,-234.01999999999984,184,139,1.329590088395131,500
2,-225.43999999999988,179,162,8.652354852868797,500
3,-241.0699999999998,192,134,4.451124255557293,500
4,-212.02999999999997,153,133,8.55591116635102,500
