episode,cumulative_reward,obstacle_hits,visited_count,average_battery_level,episode_length
1,395.72,5,9,66.24027133431238,9
2,-229.70000000000024,169,106,22.002988435831604,500
3,368.90000000000003,26,42,58.24650420520343,81
4,399.96,0,3,86.81649151754331,2
5,-251.44999999999993,205,131,13.939253070792194,500
6,169.40999999999994,187,148,13.922049049230353,485
