episode,cumulative_reward,obstacle_hits,visited_count,average_battery_level,episode_length
1,294.6799999999998,95,110,34.11173611157072,228
2,237.82999999999996,135,125,16.751788718833012,348
3,306.33000000000004,85,50,1.8672928932606276,161
4,-229.30999999999975,171,115,2.033941947418208,500
5,238.55000000000007,137,107,42.10298477210144,324
