episode,cumulative_reward,obstacle_hits,visited_count,average_battery_level,episode_length
1,383.49,15,21,15.398437578322932,38
2,-207.23000000000016,155,163,4.408674071025418,500
3,-202.78999999999976,146,152,5.833041466068367,500
4,-242.74999999999955,199,151,9.011809299624334,500
5,-227.65999999999994,166,105,2.8432109525782763,500
