episode,cumulative_reward,obstacle_hits,visited_count,average_battery_level,episode_length
1,254.68000000000004,120,85,11.876581513484336,292
2,372.19,23,41,83.5837688696521,76
3,297.26,78,83,50.32529800020994,246
4,355.42,37,54,17.56481290373794,112
5,394.27,5,14,11.476006874357841,19
6,-229.03999999999982,174,127,0.4429015274707781,500
7,210.0200000000002,157,114,36.4213720441825,384
8,330.18,59,35,1.4483333444768005,131
