current_reward,current_battery,distance_to_goal,terminated,truncated
-0.04,23.060033632784325,0.42105263,False,False
-0.04,22.735433928134327,0.47368422,False,False
-0.25,22.280977141624327,0.42105263,False,False
-0.25,21.761590814184327,0.47368422,False,False
-0.04,21.242192986744328,0.47368422,False,False
-0.04,20.722804159304328,0.42105263,False,False
-0.04,32.96941420803207,0.47368422,False,False
-0.04,19.74897804535433,0.42105263,False,False
-0.25,32.709638044312065,0.47368422,False,False
-0.25,18.840061972334325,0.42105263,False,False
-0.04,18.32067564489433,0.42105263,False,False
-0.79,17.86621485838433,0.42105263,False,False
-1.0,17.34683403094433,0.42105263,False,False
-0.25,16.82744520350433,0.47368422,False,False
-0.25,16.372979916994325,0.42105263,False,False
-0.04,15.918513630484325,0.47368422,False,False
-0.25,31.93029855315205,0.47368422,False,False
-0.25,14.944660516534325,0.47368422,False,False
-0.04,14.425268689094326,0.42105263,False,False
-0.79,13.905876861654326,0.42105263,False,False
-0.25,31.540636307572047,0.47368422,False,False
-0.25,12.996947288634324,0.47368422,False,False
-0.25,12.542483502124325,0.42105263,False,False
-1.0,12.088017215614325,0.42105263,False,False
-0.25,11.633552429104325,0.42105263,False,False
-0.25,11.244019183524324,0.42105263,False,False
-0.04,10.854482937944322,0.47368422,False,False
-0.04,10.46493569236432,0.47368422,False,False
-0.79,10.07538294678432,0.47368422,False,False
-0.79,9.685827201204319,0.47368422,False,False
-1.0,9.231348414694317,0.47368422,False,False
-0.25,8.776865628184316,0.47368422,False,False
-0.79,8.322387841674313,0.47368422,False,False
-0.25,7.867910055164313,0.42105263,False,False
-0.25,7.478361809584314,0.47368422,False,False
-0.25,7.023877523074315,0.47368422,False,False
-0.25,6.634338277494316,0.42105263,False,False
-0.25,6.179861490984317,0.42105263,False,False
-0.25,5.790309245404318,0.47368422,False,False
-0.25,5.335811958894319,0.42105263,False,False
-1.0,4.94626571331432,0.42105263,False,False
-0.04,4.62164150866432,0.36842105,False,False
-0.04,4.29701130401432,0.31578946,False,False
-0.79,3.9723845993643203,0.31578946,False,False
-0.25,3.51789281285432,0.36842105,False,False
-0.25,3.1283285672743206,0.42105263,False,False
-0.25,2.738755321694321,0.42105263,False,False
-0.25,2.414123117044321,0.47368422,False,False
-0.25,2.0245553714643205,0.47368422,False,False
-1.0,1.6999161668143206,0.47368422,False,False
-0.04,26.79966181968203,0.42105263,False,False
-0.79,26.604828696892028,0.42105263,False,False
-0.79,26.34505153317203,0.42105263,False,False
-0.79,26.150214410382027,0.42105263,False,False
-1.0,25.890426746662026,0.42105263,False,False
-1.0,25.630637582942025,0.42105263,False,False
-1.0,25.370848419222025,0.42105263,False,False
-1.0,25.111059255502024,0.42105263,False,False
-1.0,24.851276091782022,0.42105263,False,False
-1.0,24.59149442806202,0.42105263,False,False
-0.79,24.39664730527202,0.42105263,False,False
-1.0,24.201806182482017,0.42105263,False,False
-1.0,24.006969559692013,0.42105263,False,False
-1.0,23.81213293690201,0.42105263,False,False
-1.0,23.68223985504201,0.42105263,False,False
-1.0,23.552347273182008,0.42105263,False,False
-0.04,23.357506150392005,0.36842105,False,False
-1.0,23.162668527602005,0.36842105,False,False
-0.04,22.967829904812003,0.31578946,False,False
-0.04,81.00694404847982,0.36842105,False,False
-0.79,80.81217542568983,0.36842105,False,False
-0.79,80.61740030289984,0.36842105,False,False
-0.79,80.35769313917984,0.36842105,False,False
-0.79,80.09799697545985,0.36842105,False,False
-0.25,21.993641290861994,0.31578946,False,False
-0.79,21.863752209001994,0.31578946,False,False
