episode,cumulative_reward,obstacle_hits,visited_count,average_battery_level,episode_length
1,400,0,2,3.7959961675267384,1
2,396.97,3,9,69.90591947761234,10
3,-236.96,184,125,3.607147728344194,500
4,-258.4099999999999,200,80,14.132092179233712,500
5,395.42,5,4,44.02367488245454,6
6,-239.71999999999966,186,119,5.686684499422937,500
7,-246.58999999999975,196,122,3.4204272322707867,500
