"(1, 14)","(5, 4)","(11, 17)","(16, 4)"
60.60157774522924,6.9174258978000855,3.6661195856667383,55.788383162007364
50.321198522799605,18.06448035371761,45.03838758197372,70.76295246788838
50.1263689000096,17.80478968999761,44.84363395918373,70.56817934509837
49.931540277219604,17.610023067207607,44.64887633639373,70.30846918137836
49.736714154429606,17.415260944417607,44.454113713603725,70.04876201765835
49.54189303163961,17.220497821627607,44.25935159081373,69.78905585393834
49.34707490884961,17.025732198837606,44.064585968023735,69.52934769021833
49.15224828605962,16.830968576047606,43.86982434523373,69.26963752649833
48.95742166326961,16.636199953257602,43.67505822244373,69.00991886277833
48.76258904047962,16.4414258304676,43.480291099653726,68.75019769905835
48.567764917689615,16.246662207677602,43.285516976863725,68.49046903533835
29.724569370399003,2.252502738276337,98.10155484249782,83.78573404621072
29.724569370399003,1.9928220745563372,97.84189567877782,83.46105884156073
29.724569370399003,1.5383437880463369,97.58222751505782,83.33119525970073
29.724569370399003,1.1487970424663365,97.32257285133782,83.13639213691074
29.724569370399003,0.8241783378163363,97.06290868761782,82.87664797319074
29.724569370399003,0.5644946740963362,96.73831598296782,82.61691280947075
29.724569370399003,0.2398699694463361,96.47866231924782,82.35717864575075
29.659623329469003,0.0,96.21900615552782,82.09744898203076
29.594677288539003,0.0,95.95934599180782,81.77278477738076
29.529732747609003,0.0,95.69968182808782,81.44811007273077
29.464786706679003,0.0,95.44001616436782,81.18836990901077
29.399842165749003,0.0,95.18034950064782,80.99356778622078
29.334897624819003,0.0,94.92066833692782,80.79876266343078
29.334897624819003,0.0,94.66099617320782,80.53901999971079
29.334897624819003,0.0,94.40132800948781,80.2792728359908
29.334897624819003,0.0,94.1416598457678,79.9545771313408
29.205009042959002,0.0,93.8819871820478,79.7597660085508
29.075117461099,0.0,93.62230251832779,79.5649593857608
29.010173420169,0.0,93.29770081367778,79.43509430390081
28.815340797378997,0.0,93.03802564995777,79.24028968111082
28.685450715518996,0.0,92.71341744530777,79.11041659925083
28.555559133658996,0.0,92.45373978158776,78.98054351739083
28.490615092728994,0.0,92.12915107693775,78.85067493553083
