episode,cumulative_reward,obstacle_hits,visited_count,average_battery_level,episode_length
1,-257.84000000000003,218,147,16.277396823978805,500
2,289.5099999999998,88,58,46.10928153302391,226
3,-244.48999999999998,203,157,14.002176894296232,500
4,391.81,8,13,82.31064291054838,19
5,-309.10999999999984,269,85,27.676498435132313,500
6,338.36,49,43,38.41013492019962,135
7,362.77000000000004,29,64,28.493862170653887,115
