episode,cumulative_reward,obstacle_hits,visited_count,average_battery_level,episode_length
1,-235.96999999999932,195,169,12.879254132415776,500
2,-221.56999999999988,166,134,2.9054546880393812,500
3,-306.17000000000013,269,99,13.819610937668667,500
4,396.3,4,7,1.7234092597450683,8
5,-205.1900000000001,145,137,3.1213314012660103,500
