current_reward,current_battery,distance_to_goal,terminated,truncated
-0.04,20.656532465034672,0.31578946,False,False
-0.04,20.461744842244677,0.36842105,False,False
-0.04,20.266958719454678,0.42105263,False,False
-0.04,20.07216109666468,0.42105263,False,False
-0.79,19.87736847387468,0.42105263,False,False
-0.04,60.904749604010206,0.47368422,False,False
-0.04,19.55271776922468,0.47368422,False,False
-0.04,87.9865070424925,0.47368422,False,False
-0.04,87.7268118787725,0.42105263,False,False
-0.79,87.46712321505248,0.42105263,False,False
-0.79,87.20742755133247,0.42105263,False,False
-1.0,86.94774038761247,0.42105263,False,False
-0.04,86.68805872389247,0.42105263,False,False
-0.79,86.42837656017247,0.42105263,False,False
-0.04,86.16868189645247,0.42105263,False,False
-0.25,86.03884831459247,0.42105263,False,False
-0.04,85.90900873273247,0.42105263,False,False
-1.0,85.77916765087248,0.42105263,False,False
-0.79,85.64932756901248,0.42105263,False,False
-1.0,85.51948498715248,0.42105263,False,False
-0.04,85.38964490529249,0.36842105,False,False
-0.25,85.25980782343248,0.42105263,False,False
-0.79,85.06504670064248,0.42105263,False,False
-0.25,84.93520961878248,0.42105263,False,False
-0.25,84.80537303692248,0.42105263,False,False
-0.04,84.67554345506247,0.47368422,False,False
-0.25,84.48080133227246,0.42105263,False,False
-0.25,84.28603820948246,0.42105263,False,False
-1.0,84.02635154576245,0.42105263,False,False
-0.79,83.76666638204244,0.42105263,False,False
-1.0,83.50697971832244,0.42105263,False,False
-1.0,83.31222509553244,0.42105263,False,False
-1.0,83.11747597274244,0.42105263,False,False
-1.0,82.92272884995243,0.42105263,False,False
-1.0,82.72798172716243,0.42105263,False,False
-0.25,82.53323510437242,0.42105263,False,False
-0.79,82.33848548158241,0.42105263,False,False
-0.25,82.1437358587924,0.42105263,False,False
-0.25,81.94899223600238,0.42105263,False,False
-1.0,81.75424111321237,0.42105263,False,False
-0.25,81.55949049042236,0.47368422,False,False
-0.25,81.36473686763236,0.42105263,False,False
-1.0,81.16999024484235,0.42105263,False,False
-1.0,80.97524112205235,0.42105263,False,False
-0.25,80.78049199926235,0.42105263,False,False
-0.25,80.58575037647235,0.42105263,False,False
-1.0,80.39100475368234,0.42105263,False,False
-1.0,80.19625613089234,0.42105263,False,False
-0.25,80.00150850810233,0.47368422,False,False
-0.04,44.024871962210064,0.47368422,False,False
-0.04,43.70026575756006,0.47368422,False,False
-0.04,43.310738011980064,0.47368422,False,False
-0.04,42.986133307330064,0.47368422,False,False
-0.04,42.466745979890064,0.42105263,False,False
-0.25,41.94736065245007,0.47368422,False,False
-0.79,41.49290336594009,0.47368422,False,False
-0.79,41.1033671203601,0.47368422,False,False
-0.04,40.713827874780094,0.47368422,False,False
-0.04,40.25936658827009,0.47368422,False,False
-0.79,39.73998026083009,0.47368422,False,False
-0.79,39.220590933390085,0.47368422,False,False
-1.0,38.766131646880076,0.47368422,False,False
-0.04,38.31166336037007,0.47368422,False,False
-0.79,37.857186573860076,0.47368422,False,False
-0.04,37.40270228735008,0.47368422,False,False
-1.0,36.883278459910066,0.47368422,False,False
-1.0,36.428784173400054,0.47368422,False,False
-0.04,35.97429688689005,0.42105263,False,False
-0.04,35.51981210038006,0.42105263,False,False
-0.25,35.19519039573006,0.47368422,False,False
-1.0,34.87055369108006,0.47368422,False,False
-0.04,34.416059404570056,0.42105263,False,False
-0.04,22.262596176542502,0.47368422,False,False
-0.25,33.636959913410045,0.47368422,False,False
-0.25,33.24740766783004,0.47368422,False,False
-0.25,32.85786392225004,0.42105263,False,False
-0.79,32.338472094810044,0.42105263,False,False
-0.25,31.948932849230044,0.42105263,False,False
-1.0,31.559386603650047,0.42105263,False,False
-0.04,31.169844858070043,0.36842105,False,False
-0.25,30.780308112490044,0.42105263,False,False
-0.79,30.520623448770042,0.42105263,False,False
-0.25,30.260941785050044,0.47368422,False,False
-0.25,30.001263121330044,0.47368422,False,False
-0.04,29.67664741668004,0.42105263,False,False
-0.25,29.35204171203004,0.42105263,False,False
-1.0,29.027423007380037,0.42105263,False,False
-1.0,28.63788326180003,0.42105263,False,False
-0.25,28.37820559808003,0.47368422,False,False
-1.0,28.05359139343003,0.47368422,False,False
-0.04,27.66404614785003,0.42105263,False,False
-0.25,27.33943194320003,0.42105263,False,False
-0.25,27.014818238550028,0.47368422,False,False
-1.0,26.755122574830025,0.47368422,False,False
-1.0,26.495424411110026,0.47368422,False,False
-0.25,26.235728747390024,0.47368422,False,False
-1.0,25.846173001810026,0.47368422,False,False
-0.25,25.45661875623003,0.47368422,False,False
-0.25,24.937195928790025,0.42105263,False,False
-0.25,24.482715642280027,0.42105263,False,False
-0.79,24.02825785577003,0.42105263,False,False
-0.79,23.57379356926003,0.42105263,False,False
-0.25,23.11933028275003,0.47368422,False,False
-1.0,22.729793537170032,0.47368422,False,False
-0.25,22.340256791590033,0.47368422,False,False
-0.25,21.950722046010032,0.47368422,False,False
-0.25,21.56117980043003,0.47368422,False,False
-0.25,21.17163905485003,0.47368422,False,False
-0.25,20.911964891130026,0.42105263,False,False
-0.25,20.457497604620023,0.47368422,False,False
-0.25,20.132887399970024,0.42105263,False,False
-0.25,19.743357154390022,0.42105263,False,False
-0.25,19.288894867880025,0.47368422,False,False
-0.25,18.834419581370025,0.42105263,False,False
-0.25,18.44488733579002,0.42105263,False,False
-0.25,18.05536409021002,0.42105263,False,False
-1.0,17.600906803700017,0.42105263,False,False
-0.25,17.211377558120013,0.42105263,False,False
-1.0,16.82184931254001,0.42105263,False,False
-1.0,16.432315066960008,0.42105263,False,False
-0.25,15.977856780450008,0.42105263,False,False
-1.0,15.588330534870009,0.42105263,False,False
-0.25,15.198805789290011,0.42105263,False,False
-0.25,14.809287043710013,0.42105263,False,False
-0.25,14.419763298130013,0.42105263,False,False
-1.0,13.965322511620014,0.42105263,False,False
-0.25,13.510884225110017,0.42105263,False,False
-0.25,13.056442438600019,0.47368422,False,False
-0.79,12.666920193020019,0.47368422,False,False
-0.25,12.212475406510022,0.47368422,False,False
-1.0,11.758026120000023,0.47368422,False,False
-1.0,11.303575833490026,0.47368422,False,False
-0.25,10.849129546980029,0.47368422,False,False
-1.0,10.39468876047003,0.47368422,False,False
-1.0,10.00517151489003,0.47368422,False,False
-0.25,9.550729728380029,0.42105263,False,False
-1.0,9.096287441870029,0.42105263,False,False
-0.25,8.641845155360029,0.47368422,False,False
-1.0,8.25233190978003,0.47368422,False,False
-1.0,7.862817664200032,0.47368422,False,False
-0.25,7.473303918620031,0.47368422,False,False
-0.25,7.018862632110031,0.42105263,False,False
-0.25,6.564422345600032,0.36842105,False,False
-0.25,6.239843640950031,0.42105263,False,False
-1.0,5.785404354440031,0.42105263,False,False
-0.25,5.330979067930031,0.47368422,False,False
-0.25,4.876543781420031,0.42105263,False,False
-0.25,4.4221099949100315,0.42105263,False,False
-1.0,3.9676807084000316,0.42105263,False,False
-0.25,3.5132519218900313,0.47368422,False,False
-0.25,12.846178241692488,0.47368422,False,False
-0.04,12.651347618902488,0.47368422,False,False
-0.04,2.2797686442200313,0.42105263,False,False
-0.25,12.326624914252488,0.47368422,False,False
-0.79,12.196740332392487,0.47368422,False,False
-0.79,12.066856250532487,0.47368422,False,False
-1.0,11.936971668672486,0.47368422,False,False
-0.25,0.33217341632003144,0.42105263,False,False
-0.25,11.742142545882485,0.47368422,False,False
-0.25,11.612253964022486,0.47368422,False,False
-0.25,0.0,0.42105263,False,False
-0.25,11.287533759372486,0.47368422,False,False
-1.0,11.092704636582486,0.47368422,False,False
-0.25,0.0,0.42105263,False,False
-0.79,0.0,0.42105263,False,False
-0.79,0.0,0.42105263,False,False
-0.25,0.0,0.47368422,False,False
-0.25,0.0,0.42105263,False,False
-0.25,0.0,0.47368422,False,False
-1.0,0.0,0.47368422,False,False
-0.25,10.183487063562485,0.47368422,False,False
-0.79,9.988650440772485,0.47368422,False,False
-1.0,9.793811817982485,0.47368422,False,False
-0.04,0.0,0.42105263,False,False
-1.0,0.0,0.42105263,False,False
-0.25,0.0,0.42105263,False,False
-0.25,0.0,0.42105263,False,False
-0.25,9.079415367752482,0.47368422,False,False
-0.25,0.0,0.42105263,False,False
-0.04,8.75468916310248,0.47368422,False,False
-0.04,8.559856540312479,0.47368422,False,False
-0.25,8.365019417522479,0.47368422,False,False
-0.25,8.170186794732478,0.47368422,False,False
-0.25,0.0,0.42105263,False,False
-0.79,0.0,0.42105263,False,False
-1.0,0.0,0.42105263,False,False
-1.0,0.0,0.42105263,False,False
-1.0,0.0,0.42105263,False,False
-0.25,7.325903762642479,0.47368422,False,False
-0.25,7.131068639852479,0.47368422,False,False
-0.25,0.0,0.42105263,False,False
-1.0,0.0,0.42105263,False,False
-0.25,6.676461853342478,0.47368422,False,False
-0.25,0.0,0.42105263,False,False
-0.25,6.416682689622478,0.47368422,False,False
-0.25,0.0,0.42105263,False,False
-0.79,0.0,0.42105263,False,False
-1.0,0.0,0.42105263,False,False
-0.25,6.027017444042476,0.47368422,False,False
-1.0,5.832184821252476,0.47368422,False,False
-0.04,5.637356698462475,0.42105263,False,False
-1.0,5.442522575672474,0.42105263,False,False
-1.0,5.312628493812474,0.42105263,False,False
-0.25,0.0,0.42105263,False,False
-0.25,4.9879012891624726,0.47368422,False,False
-0.25,4.793069166372471,0.42105263,False,False
-0.25,4.598230543582471,0.47368422,False,False
-0.79,4.40339742079247,0.47368422,False,False
-0.25,4.20856829800247,0.42105263,False,False
-1.0,4.01373367521247,0.42105263,False,False
-0.25,0.0,0.42105263,False,False
