current_reward,current_battery,distance_to_goal,terminated,truncated
-0.04,46.41625389086536,0.36842105,False,False
-0.04,46.22145226807536,0.31578946,False,False
-0.04,46.02665314528536,0.2631579,False,False
-0.25,45.76692848156536,0.31578946,False,False
-0.04,45.50719881784536,0.31578946,False,False
-0.25,45.247477154125356,0.2631579,False,False
-0.04,45.05268753133535,0.21052632,False,False
-0.79,44.85789440854535,0.21052632,False,False
-0.25,44.59817524482535,0.2631579,False,False
-0.25,44.40338412203535,0.21052632,False,False
-0.04,44.20859299924535,0.2631579,False,False
-0.79,44.013802876455344,0.2631579,False,False
-1.0,43.75407771273535,0.2631579,False,False
-0.04,43.55929408994536,0.21052632,False,False
-0.25,43.36451596715537,0.2631579,False,False
-0.25,43.16973484436538,0.21052632,False,False
-1.0,42.97495772157538,0.21052632,False,False
-0.79,42.78018059878538,0.21052632,False,False
-0.25,42.58539997599538,0.2631579,False,False
-0.79,42.39061935320538,0.2631579,False,False
-0.25,42.13090668948538,0.21052632,False,False
-0.04,41.87119252576538,0.15789473,False,False
-0.04,41.67641240297539,0.10526316,False,False
-0.04,41.416691739255384,0.15789473,False,False
-0.04,41.22189911646538,0.15789473,False,False
-0.79,41.02710549367538,0.15789473,False,False
-0.79,40.76738282995537,0.15789473,False,False
-0.04,40.442710125305375,0.10526316,False,False
-0.04,40.11805442065538,0.10526316,False,False
-0.79,39.72846067507539,0.10526316,False,False
-0.79,39.338867929495386,0.10526316,False,False
-0.25,39.01421122484539,0.10526316,False,False
-0.25,38.62460997926539,0.15789473,False,False
-0.25,38.23501023368538,0.15789473,False,False
-0.25,37.84542148810537,0.10526316,False,False
-0.79,37.520779283455376,0.10526316,False,False
-0.25,37.19613407880538,0.10526316,False,False
-1.0,36.871477874155374,0.10526316,False,False
-1.0,36.61176271043537,0.10526316,False,False
-0.25,36.35203804671537,0.10526316,False,False
-0.25,36.092314382995376,0.15789473,False,False
-0.25,35.89752726020538,0.15789473,False,False
-0.25,35.70274463741538,0.10526316,False,False
-0.25,35.44302097369538,0.15789473,False,False
-0.25,35.183292309975386,0.10526316,False,False
-1.0,34.85862860532539,0.10526316,False,False
-0.25,34.5339654006754,0.10526316,False,False
-0.04,34.2093016960254,0.10526316,False,False
-0.04,33.884636991375395,0.05263158,False,False
-0.79,33.5599697867254,0.05263158,False,False
-1.0,33.1703625411454,0.05263158,False,False
-1.0,32.780752795565405,0.05263158,False,False
-0.79,32.39114354998541,0.05263158,False,False
-0.04,32.00152930440541,0.10526316,False,False
-0.79,31.611927058825405,0.10526316,False,False
-1.0,31.2223233132454,0.10526316,False,False
-1.0,30.8327140676654,0.10526316,False,False
-0.25,30.508065363015398,0.05263158,False,False
-1.0,30.183418658365397,0.05263158,False,False
-0.25,29.858773953715396,0.10526316,False,False
-1.0,29.534134749065394,0.10526316,False,False
-1.0,29.20950054441539,0.10526316,False,False
-0.04,28.88486683976539,0.15789473,False,False
-1.0,28.560231635115386,0.15789473,False,False
-0.79,28.235596930465384,0.15789473,False,False
-0.79,27.91095922581538,0.15789473,False,False
-1.0,27.586322021165373,0.15789473,False,False
-1.0,27.261683316515374,0.15789473,False,False
-1.0,26.937051611865368,0.15789473,False,False
-1.0,26.547474366285364,0.15789473,False,False
-0.04,26.22284716163536,0.21052632,False,False
-1.0,25.89821295698536,0.21052632,False,False
-1.0,25.57358025233536,0.21052632,False,False
-1.0,25.24895204768536,0.21052632,False,False
-0.25,24.92432584303536,0.15789473,False,False
-1.0,24.599696638385353,0.15789473,False,False
-1.0,24.27505793373535,0.15789473,False,False
-1.0,23.950409729085347,0.15789473,False,False
-1.0,23.625765524435344,0.15789473,False,False
-1.0,23.301113819785343,0.15789473,False,False
-1.0,22.97645711513534,0.15789473,False,False
-1.0,22.651802410485338,0.15789473,False,False
-1.0,22.327146205835337,0.15789473,False,False
-1.0,21.937543960255333,0.15789473,False,False
-1.0,21.54794271467533,0.15789473,False,False
-1.0,21.158341469095326,0.15789473,False,False
-1.0,20.768744223515323,0.15789473,False,False
-1.0,20.37915347793532,0.15789473,False,False
-1.0,19.989548232355315,0.15789473,False,False
-1.0,19.59994148677531,0.15789473,False,False
-0.25,19.210333741195306,0.10526316,False,False
-0.25,18.820739495615307,0.15789473,False,False
-0.25,18.431143750035304,0.10526316,False,False
-0.25,18.041549504455304,0.15789473,False,False
-0.25,17.651950258875303,0.21052632,False,False
-1.0,17.2623680132953,0.21052632,False,False
-1.0,16.8727842677153,0.21052632,False,False
-0.04,16.4832005221353,0.2631579,False,False
-1.0,16.093615276555298,0.2631579,False,False
-0.79,15.704037030975297,0.2631579,False,False
-1.0,15.314457285395296,0.2631579,False,False
-0.04,14.924872039815295,0.31578946,False,False
-0.79,14.535287794235295,0.31578946,False,False
-0.79,14.145697548655294,0.31578946,False,False
-0.79,13.756121303075291,0.31578946,False,False
-1.0,13.36654705749529,0.31578946,False,False
-1.0,12.976972311915288,0.31578946,False,False
