episode,cumulative_reward,obstacle_hits,visited_count,average_battery_level,episode_length
1,265.24,124,46,17.50898215213036,205
2,354.42,40,54,29.47902218405577,107
3,-237.94999999999982,187,131,36.54359550282036,500
4,-223.82,162,109,16.389690537804093,500
5,-227.98999999999984,167,107,7.575327851676585,500
