episode,cumulative_reward,obstacle_hits,visited_count,average_battery_level,episode_length
1,-238.09999999999965,190,141,24.156726622568662,500
2,-266.38999999999993,214,92,18.92559671868151,500
3,-216.76999999999984,161,139,13.381158847522157,500
4,385.5,14,27,16.639440208983356,38
5,259.74,96,71,4.936056154592785,332
