current_reward,current_battery,distance_to_goal,terminated,truncated
-0.79,22.563054471719223,0.36842105,False,False
-1.0,22.23845576706922,0.36842105,False,False
-0.04,21.913857562419217,0.31578946,False,False
-0.04,21.654177398699215,0.2631579,False,False
-0.79,21.394499734979217,0.2631579,False,False
-0.04,21.134820071259217,0.31578946,False,False
-0.79,20.87512840753922,0.31578946,False,False
-0.04,20.615437743819218,0.31578946,False,False
-0.79,20.35573958009922,0.31578946,False,False
-0.79,20.03111837544922,0.31578946,False,False
-1.0,19.706496670799226,0.31578946,False,False
-1.0,19.38187746614923,0.31578946,False,False
-0.79,19.057255761499235,0.31578946,False,False
-0.79,18.732643056849238,0.31578946,False,False
-1.0,18.408034352199238,0.31578946,False,False
-0.79,18.083424147549238,0.31578946,False,False
-1.0,17.758810942899242,0.31578946,False,False
-1.0,17.434196238249243,0.31578946,False,False
-1.0,17.10957953359924,0.31578946,False,False
-1.0,16.784966828949244,0.31578946,False,False
-1.0,16.460348624299247,0.31578946,False,False
-1.0,16.135730919649248,0.31578946,False,False
-1.0,15.81112071499925,0.31578946,False,False
-1.0,15.48650351034925,0.31578946,False,False
-0.25,15.16188330569925,0.31578946,False,False
-0.79,14.83726910104925,0.31578946,False,False
-0.25,14.51265739639925,0.2631579,False,False
-1.0,14.18805419174925,0.2631579,False,False
-1.0,13.863449987099251,0.2631579,False,False
-0.79,13.538844282449253,0.2631579,False,False
-0.25,13.214244077799254,0.31578946,False,False
-1.0,12.889655373149255,0.31578946,False,False
-1.0,12.565068168499256,0.31578946,False,False
-1.0,12.240479963849255,0.31578946,False,False
-0.04,11.915893259199255,0.31578946,False,False
-0.25,11.591309554549253,0.31578946,False,False
-0.25,11.266718849899254,0.2631579,False,False
-0.04,10.942121145249255,0.31578946,False,False
-0.25,10.617524940599255,0.31578946,False,False
-0.25,10.292928235949255,0.31578946,False,False
-1.0,9.968327531299254,0.31578946,False,False
-1.0,9.643730326649253,0.31578946,False,False
-1.0,9.319130621999253,0.31578946,False,False
-0.25,8.929605376419254,0.31578946,False,False
-1.0,8.605012671769252,0.31578946,False,False
-1.0,8.215485426189252,0.31578946,False,False
-0.25,7.825967680609251,0.36842105,False,False
-0.04,7.43644843502925,0.31578946,False,False
-0.79,7.046927189449249,0.31578946,False,False
-0.25,6.657416943869248,0.36842105,False,False
-0.04,6.267898198289247,0.42105263,False,False
-0.79,5.8783809527092465,0.42105263,False,False
-0.79,5.488858707129246,0.42105263,False,False
-0.04,82.67049395389834,0.42105263,False,False
-0.04,82.41076479017835,0.42105263,False,False
-0.04,82.08610358552835,0.47368422,False,False
-0.79,81.76145688087836,0.47368422,False,False
