episode,cumulative_reward,obstacle_hits,visited_count,average_battery_level,episode_length
1,-275.21000000000004,228,100,3.630586699755204,500
2,332.47,48,59,37.54073729189457,175
3,328.12999999999994,54,55,35.720238663280085,171
4,-224.23999999999984,176,157,4.286471361506336,500
5,-254.80999999999966,219,165,3.5997324347310005,500
