"(1, 14)","(5, 4)","(11, 17)","(16, 4)"
100.0,99.74033183627999,0.0,0.0
100.0,99.41572813162999,0.0,0.0
100.0,99.15605646790999,0.0,0.0
100.0,98.83145276325999,0.0,0.0
100.0,98.57178359953998,0.0,0.0
100.0,98.31211093581997,0.0,0.0
100.0,97.98750423116998,0.0,0.0
100.0,97.66290002651999,0.0,0.0
100.0,97.33829432187,0.0,0.0
100.0,97.01369311722,0.0,0.0
100.0,96.68909591257001,0.0,0.0
100.0,96.36448570792002,0.0,0.0
100.0,96.03987900327003,0.0,0.0
100.0,95.78020683955003,0.0,0.0
100.0,95.52054017583002,0.0,0.0
100.0,95.19594397118001,0.0,0.0
100.0,94.87134226653002,0.0,0.0
100.0,94.48180102095003,0.0,0.0
100.0,94.28704639816004,0.0,0.0
100.0,94.02735273444004,0.0,0.0
100.0,93.70273852979004,0.0,0.0
100.0,93.50798740700004,0.0,0.0
100.0,93.24830374328003,0.0,0.0
100.0,92.98862007956004,0.0,0.0
100.0,92.72893041584004,0.0,0.0
100.0,92.40430871119004,0.0,0.0
100.0,92.20954858840004,0.0,0.0
100.0,92.01478546561005,0.0,0.0
100.0,91.75509330189004,0.0,0.0
100.0,91.56033017910003,0.0,0.0
100.0,91.36556955631002,0.0,0.0
100.0,91.10588039259001,0.0,0.0
100.0,90.84619072887,0.0,0.0
100.0,90.58650006514999,0.0,0.0
100.0,90.32681340142999,0.0,0.0
100.0,90.13205327863999,0.0,0.0
100.0,89.93728715584999,0.0,0.0
100.0,89.67758849212998,0.0,0.0
100.0,89.41789582840998,0.0,0.0
100.0,89.15820416468998,0.0,0.0
100.0,88.89851450096998,0.0,0.0
100.0,88.70375037817998,0.0,0.0
100.0,88.50898275538997,0.0,0.0
100.0,88.31421663259997,0.0,0.0
100.0,88.05452146887997,0.0,0.0
100.0,87.85976584608997,0.0,0.0
100.0,87.66501022329997,0.0,0.0
100.0,87.47025810050997,0.0,0.0
100.0,87.21056293678996,0.0,0.0
100.0,87.01579681399996,0.0,0.0
100.0,86.88596673213995,0.0,0.0
100.0,86.69120660934995,0.0,0.0
100.0,86.43150994562994,0.0,0.0
100.0,86.23675032283994,0.0,0.0
100.0,86.04198620004993,0.0,0.0
100.0,85.91215011818993,0.0,0.0
100.0,85.71738599539992,0.0,0.0
100.0,85.58755191353993,0.0,0.0
100.0,85.45771383167992,0.0,0.0
100.0,85.32787374981993,0.0,0.0
100.0,85.19803666795993,0.0,0.0
100.0,85.06819908609992,0.0,0.0
100.0,84.93836100423992,0.0,0.0
100.0,84.80852192237992,0.0,0.0
100.0,84.67867784051992,0.0,0.0
100.0,84.54883225865993,0.0,0.0
100.0,84.41898267679993,0.0,0.0
100.0,84.28913309493993,0.0,0.0
100.0,84.15928451307992,0.0,0.0
100.0,84.09436697214993,0.0,0.0
100.0,83.96451539028993,0.0,0.0
100.0,83.83467130842993,0.0,0.0
100.0,83.70482722656993,0.0,0.0
100.0,83.57498614470992,0.0,0.0
100.0,83.44514706284993,0.0,0.0
100.0,83.31530798098993,0.0,0.0
100.0,83.18546989912993,0.0,0.0
100.0,83.05563581726992,0.0,0.0
100.0,82.92580173540992,0.0,0.0
100.0,82.73103011261992,0.0,0.0
100.0,82.53626598982993,0.0,0.0
100.0,82.27656432610993,0.0,0.0
100.0,82.08179070331994,0.0,0.0
100.0,81.82208853959995,0.0,0.0
100.0,81.56238187587995,0.0,0.0
100.0,81.36761325308994,0.0,0.0
100.0,81.17285263029994,0.0,0.0
100.0,80.97808600750994,0.0,0.0
100.0,80.71839234378996,0.0,0.0
100.0,80.52363272099997,0.0,0.0
100.0,80.32887059820997,0.0,0.0
100.0,80.13410897541998,0.0,0.0
100.0,79.93934885262998,0.0,0.0
100.0,79.74459322983996,0.0,0.0
100.0,79.54983960704996,0.0,0.0
100.0,79.35508398425996,0.0,0.0
100.0,79.16032836146996,0.0,0.0
100.0,78.96557223867997,0.0,0.0
100.0,78.77081111588997,0.0,0.0
100.0,78.57605599309997,0.0,0.0
100.0,78.38129637030997,0.0,0.0
100.0,78.18653724751998,0.0,0.0
100.0,77.99177112472998,0.0,0.0
100.0,77.86193454286999,0.0,0.0
100.0,77.73209796101,0.0,0.0
100.0,77.53733133822,0.0,0.0
100.0,77.34255471543,0.0,0.0
99.93505395907,77.21270663357,0.0,0.0
99.93505395907,77.01794101077999,0.0,0.0
99.93505395907,76.82317788799,0.0,0.0
99.93505395907,76.6284147652,0.0,0.0
99.93505395907,76.43364464241,0.0,0.0
