current_reward,current_battery,distance_to_goal,terminated,truncated
-0.04,100.0,0.31578946,False,False
-0.79,99.74033183627999,0.31578946,False,False
-0.04,99.41572813162999,0.36842105,False,False
-0.79,99.15605646790999,0.36842105,False,False
-0.04,98.83145276325999,0.42105263,False,False
-0.04,98.57178359953998,0.47368422,False,False
-0.04,98.31211093581997,0.42105263,False,False
-0.04,97.98750423116998,0.42105263,False,False
-0.04,97.66290002651999,0.42105263,False,False
-0.04,97.33829432187,0.47368422,False,False
-0.25,97.01369311722,0.42105263,False,False
-0.25,96.68909591257001,0.47368422,False,False
-0.25,96.36448570792002,0.42105263,False,False
-0.25,96.03987900327003,0.42105263,False,False
-0.04,95.78020683955003,0.36842105,False,False
-0.25,95.52054017583002,0.42105263,False,False
-0.25,95.19594397118001,0.47368422,False,False
-0.04,94.87134226653002,0.47368422,False,False
-0.04,0.0,0.42105263,False,False
-0.79,0.0,0.42105263,False,False
-0.25,94.02735273444004,0.47368422,False,False
-0.25,0.0,0.42105263,False,False
-0.04,93.50798740700004,0.47368422,False,False
-0.04,93.24830374328003,0.47368422,False,False
-0.79,92.98862007956004,0.47368422,False,False
-0.79,92.72893041584004,0.47368422,False,False
-0.79,92.40430871119004,0.47368422,False,False
-0.79,92.20954858840004,0.47368422,False,False
-0.25,92.01478546561005,0.47368422,False,False
-0.25,0.0,0.42105263,False,False
-1.0,0.0,0.42105263,False,False
-0.25,91.36556955631002,0.47368422,False,False
-0.04,91.10588039259001,0.47368422,False,False
-0.25,90.84619072887,0.47368422,False,False
-0.25,90.58650006514999,0.42105263,False,False
-0.25,90.32681340142999,0.47368422,False,False
-0.04,90.13205327863999,0.47368422,False,False
-0.79,89.93728715584999,0.47368422,False,False
-0.79,89.67758849212998,0.47368422,False,False
-1.0,89.41789582840998,0.47368422,False,False
-1.0,89.15820416468998,0.47368422,False,False
-0.04,0.0,0.42105263,False,False
-0.04,0.0,0.42105263,False,False
-0.04,0.0,0.36842105,False,False
-0.25,0.0,0.42105263,False,False
-0.25,0.0,0.42105263,False,False
-0.79,0.0,0.42105263,False,False
-0.04,0.0,0.36842105,False,False
-0.04,0.0,0.31578946,False,False
-0.04,0.0,0.36842105,False,False
-0.04,0.0,0.42105263,False,False
-0.25,0.0,0.42105263,False,False
-1.0,0.0,0.42105263,False,False
-0.79,0.0,0.42105263,False,False
-1.0,0.0,0.42105263,False,False
-0.25,0.0,0.36842105,False,False
-0.04,0.0,0.31578946,False,False
-0.04,0.0,0.2631579,False,False
-0.79,0.0,0.2631579,False,False
-0.04,0.0,0.2631579,False,False
-0.79,0.0,0.2631579,False,False
-1.0,0.0,0.2631579,False,False
-0.79,0.0,0.2631579,False,False
-0.25,0.0,0.2631579,False,False
-0.25,0.0,0.31578946,False,False
-0.25,0.0,0.36842105,False,False
-1.0,0.0,0.36842105,False,False
-0.25,0.0,0.31578946,False,False
-0.25,0.0,0.2631579,False,False
-0.04,0.0,0.21052632,False,False
-0.79,0.0,0.21052632,False,False
-0.04,0.0,0.15789473,False,False
-0.04,0.0,0.10526316,False,False
-0.79,0.0,0.10526316,False,False
-1.0,0.0,0.10526316,False,False
-0.04,0.0,0.10526316,False,False
-0.04,0.0,0.10526316,False,False
-0.04,0.0,0.15789473,False,False
-0.04,0.0,0.15789473,False,False
-0.04,0.0,0.21052632,False,False
-0.25,0.0,0.2631579,False,False
-0.25,0.0,0.31578946,False,False
-0.25,0.0,0.31578946,False,False
-0.25,0.0,0.36842105,False,False
-0.25,0.0,0.42105263,False,False
-0.04,0.0,0.36842105,False,False
-0.25,0.0,0.36842105,False,False
-0.25,0.0,0.42105263,False,False
-0.25,0.0,0.36842105,False,False
-1.0,0.0,0.36842105,False,False
